Algorithm: ACO
Instance: products
Generations: 50
Number of bins used: 2
Number of items packed: 100
Final fitness: 2.712692278382408

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
   1          1              1    0    0    0   207   299   137        90
   0          1              1  207    0    0   226   284   119        25
   2          1              3  433    0    0   534   372   229        41
   3          1              3    0  299    0   295   134   232        31
   4          1              3  433  372    0   266   186   178        54
   5          1              3  433  558    0   634   417   427        27
   6          1              3    0  433    0   304   204   144        11
   7          1              3    0  637    0   251   189   162        19
   8          1              3    0  826    0   324   199   177         2
  11          1              3    0    0  137   431   263   100        14
  10          1              3  699  372    0   269   138   147         2
   9          1              3    0  826  177   409   291   165         2
  12          1              3  433    0  229   304   282   226         6
  13          1              3  433  975    0   306   222    90         4
  14          1              3  739  975    0   293   177   142         2
  16          1              3  433  282  229   491   258   276         2
  15          1              3  433  975   90   245   187   164         4
  17          1              3    0  1025    0   251   149   112        49
  18          1              3  967    0    0   221   152   118        12
  19          1              4  739  975  142   277    58   256        15
  20          1              4  739  1033  142   300   112   199       254
  21          1              4  433  558  427   488   172   376         2
  22          1              4  737    0  229   248   230   174         9
  23          1              4  967  152    0   228   197   176        26
  24          1              4  433  730  427   513   133   397        18
  25          1              4    0  299  232   358   235   295        15
  26          1              4    0  637  162   382   184   242         5
  27          1              4    0  534  232   323    93   231       297
  28          1              4    0    0  237   338   175   233       159
  29          1              4  968  372    0   196   164   138        32
  30          1              4  924  282  229   263   103   194        82
  31          1              4    0  826  342   282   256   171         3
  32          1              4    0  175  237   413   121   303         2
  33          1              4    0  175  540   570   344   441         2
  35          1              4  433  863  427   505   310   318        39
  34          1              4  737    0  403   308   126   186         2
  36          1              4    0  534  463   322   279   211         3
  37          1              4    0    0  470   378   166   259        16
  44          1              6  737    0  589   210   524   385         2
  46          1              6  947    0  589   188   505   382         4
  45          1              6    0  826  513   318   344   240        59
  47          1              6    0  534  674   275   256   177         5
  48          1              6  946  730  427   243   331   226       164
  43          1              6  946  730  653   209   369   238        83
  49          1              6  1067  558    0   127   288   208         2
  42          1              6  433  863  745   216   291   229        39
  41          1              6  324  826    0   106   287   175        42
  40          1              4    0    0  729   365   126   231         2
  39          1              5  947  505  589   207   225   354         4
  38          1              4  924  385  229   261   142   185        22
  50          1              6  570  175  540   138   273   220         2
  51          1              6    0  826  753   179   363   296         9
  52          1              6  179  826  753   232   339   246         4
  53          1              6  985    0  229   209   257   165        69
  54          1              6  304  433    0    66   220   151        39
  55          1              6  1045    0  403   154   281   179         2
  57          1              6  649  863  745   134   308   254         2
  58          1              6    0  534  851   232   288   180        72
  59          1              6  1067  846    0   121   285   187        70
  60          1              6  232  534  851   186   281   183         2
  61          1              6  418  534  851   230   216   181         8
  63          1              6  783  863  745   119   329   254         8
  64          1              6  433  975  254   149   178   137        12
  66          1              6  570  175  760   159   316   216         5
  67          1              6  648  534  851   258   279   176        11
  68          1              6  946  730  891   175   287   195         2
  70          1              4  737  126  403   296   155   127        97
  71          1              4  737    0  974   402   308   225         5
  73          1              4  737  308  974   382   177   185        12
  74          1              4  924  385  414   207   155   168        31
  76          1              4  378    0  470   345    94   199        75
  77          1              3    0  175  981   415   345   185         3
  79          1              3  415  175  981   269   185   176        10
  81          1              3  179  826  999   503   306    98        14
  80          1              3  418  534  1032   316   257   136        63
  82          1              3  378    0  669   246   166   241         2
  85          1              4  378    0  910   261   125   163       139
  99          1              1  682  826  999   246   294   164         6
  92          1              4  947  505  943   240   195   198         2
  94          1              2  946  1017  891   198   117   244       280
  56          2              6    0    0    0   223   450   381         2
  62          2              6  223    0    0   284   444   269        98
  65          2              6  507    0    0   265   360   271         9
  69          2              6  772    0    0   323   442   271        23
  72          2              4  223  444    0   478   127   379         2
  75          2              4  772  442    0   347   191   252        81
  78          2              3  223  571    0   254   195   299         3
  83          2              4  223  766    0   649   164   302        22
  84          2              4  223  930    0   367   185   269        44
  86          2              3  590  930    0   368   231   225         2
  87          2              3  772  442  252   348   286   189         2
  88          2              3  477  571    0   250   187   261        10
  89          2              3  507    0  271   410   296   216         2
  90          2              3  590  930  225   420   249   149         2
  91          2              3  223    0  269   277   215   216        38
  93          2              2  223  930  269   329   162   368         5
  95          2              2    0  450    0   183   161   324         3
  96          2              2    0  611    0   198   146   395         3
  98          2              2  872  766    0   287   142   490        42
  97          2              1  958  930    0   240   252   118         2
