Algorithm: GA
Instance: products
Generations: 50
Number of bins used: 2
Number of items packed: 100
Final fitness: 2.701141652163676

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  91          1              1    0    0    0   215   277   216        38
   5          1              4  215    0    0   634   427   417        27
   9          1              2  849    0    0   291   165   409         2
  46          1              1  215  427    0   382   505   188         4
  12          1              4  849  165    0   304   226   282         6
  22          1              4  849  391    0   248   230   174         9
   7          1              4  597  427    0   251   162   189        19
  21          1              5    0  277    0   172   376   488         2
  60          1              5  597  589    0   186   183   281         2
  92          1              6  849  621    0   195   240   198         2
  77          1              6    0  653    0   185   415   345         3
  90          1              1  597  772    0   249   420   149         2
  19          1              4  849  861    0   277    58   256        15
  72          1              5  597  772  149   127   379   478         2
  35          1              5  215  427  188   310   318   505        39
  56          1              1  215  745  188   381   450   223         2
  48          1              6  849  861  256   243   331   226       164
  37          1              1  849  165  282   259   378   166        16
  83          1              4  215    0  417   649   164   302        22
  97          1              3  849  919    0   252   240   118         2
  87          1              1  215  745  411   286   348   189         2
  96          1              3  215  164  417   395   198   146         3
  88          1              2    0    0  216   187   261   250        10
   2          1              1  215  427  693   372   534   229        41
  29          1              3  215  932    0   196   138   164        32
  79          1              6  849  543  282   176   269   185        10
  32          1              6  724  772  149   121   413   303         2
  49          1              5  1044  621    0   127   208   288         2
  47          1              5  849  165  448   275   177   256         5
  66          1              2  597  427  189   216   159   316         5
  57          1              1  849  543  467   254   308   134         2
  78          1              2    0  653  345   195   299   254         3
  51          1              1  849  543  601   296   363   179         9
  25          1              2  215  164  563   295   235   358        15
  76          1              6  501  745  411    94   345   199        75
  68          1              3  849  342  448   287   195   175         2
  53          1              4  510  164  563   257   209   165        69
  18          1              1  411  932    0   152   221   118        12
  61          1              5  597  589  281   230   181   216         8
  98          1              1  849  543  780   287   490   142        42
  86          1              3  215  961  693   368   231   225         2
  24          1              4  215    0  719   513   133   397        18
  11          1              3  510  164  728   431   263   100        14
   8          1              3  849  906  601   324   199   177         2
  67          1              5  587  427  693   258   176   279        11
  45          1              3  510  164  828   344   240   318        59
  75          1              2  597  772  627   252   191   347        81
  42          1              2  597  963  627   229   216   291        39
  52          1              2  941  164  728   246   232   339         4
   3          1              3  864    0  417   295   134   232        31
  65          1              3  215  427  922   360   271   265         9
  80          1              2  864    0  649   257   136   316        63
  15          1              6    0  952  345   164   245   187         4
  55          1              1    0  277  488   179   281   154         2
  20          1              3  849  919  118   300   199   112       254
  31          1              3  215  961  918   282   171   256         3
  44          1              5    0  653  599   210   385   524         2
  82          1              2    0    0  466   166   241   246         2
  71          1              4  587  427  972   402   308   225         5
  70          1              5    0  1068    0   155   127   296        97
  94          1              3  849  861  482   244   198   117       280
  84          1              4  215  698  922   367   185   269        44
  27          1              4  215  1093  411   323    93   231       297
   1          1              5    0  277  642   137   207   299        90
  17          1              6  724  772  452   112   251   149        49
   0          1              2  849  1033  780   226   119   284        25
   6          1              6    0  277  941   144   304   204        11
  74          1              5    0  484  642   155   168   207        31
  73          1              5    0    0  712   177   185   382        12
  28          1              1  597  427  505   233   338   175       159
   4          1              6  989  427  972   178   266   186        54
  41          1              2    0  1038  599   175   106   287        42
  58          1              6  597  772  974   232   288   180        72
  30          1              6  1092  861  256   103   263   194        82
  38          1              1  610  164  417   185   261   142        22
  95          1              4  864    0  965   324   161   183         3
  85          1              5  587  603  693   125   163   261       139
  59          1              4  215  164  921   285   121   187        70
  64          1              5  1044  621  288   149   137   178        12
  10          1              5    0  1038  886   147   138   269         2
  14          1              4  215  285  921   293   142   177         2
  54          1              5  1097  391    0    66   151   220        39
  13          1              1  215  745  600   222   306    90         4
  34          1              4  829  772  974   308   126   186         2
  89          2              4    0    0    0   410   216   296         2
  16          2              3  410    0    0   491   258   276         2
  43          2              2  901    0    0   238   209   369        83
  33          2              3  410  258    0   570   441   344         2
  36          2              4    0  216    0   322   279   211         3
  81          2              3  410  699    0   503   306    98        14
  69          2              2    0  495    0   271   323   442        23
  26          2              4    0  818    0   382   184   242         5
  40          2              5  980  258    0   126   231   365         2
  50          2              1  980  489    0   220   273   138         2
  62          2              4  410  699   98   444   284   269        98
  63          2              2    0  1002    0   254   119   329         8
  39          2              1    0    0  296   225   354   207         4
  99          2              4  410  1005    0   294   164   246         6
  93          2              6  980  762    0   162   368   329         5
  23          2              4  410    0  276   228   197   176        26
