Algorithm: PSO
Instance: products
Generations: 50
Number of bins used: 2
Number of items packed: 100
Final fitness: 2.6865784497765555

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  99          1              1    0    0    0   246   294   164         6
  81          1              1  246    0    0   306   503    98        14
  89          1              6  552    0    0   216   410   296         2
  95          1              1  768    0    0   183   324   161         3
  75          1              1  768  324    0   252   347   191        81
  77          1              1  246  503    0   345   415   185         3
  70          1              5  951    0    0   155   127   296        97
  83          1              1  246  503  185   302   649   164        22
  84          1              1  768  671    0   269   367   185        44
  85          1              1    0  294    0   163   261   125       139
  86          1              1    0  555    0   231   368   225         2
  87          1              6  246    0   98   189   348   286         2
  78          1              6  768  671  185   299   254   195         3
  79          1              1  246  918    0   185   269   176        10
  72          1              1  552    0  296   379   478   127         2
  51          1              1  246  503  349   296   363   179         9
   5          1              1  552    0  423   417   634   427        27
   2          1              6    0    0  164   229   534   372        41
   9          1              6  591  503    0   165   409   291         2
  12          1              6    0  555  225   226   304   282         6
  31          1              4  431  918    0   282   256   171         3
  24          1              6  1067  671  185   133   513   397        18
  25          1              5    0  859  225   235   295   358        15
  23          1              1  1020  324    0   176   228   197        26
  19          1              1  931    0  296   256   277    58        15
  21          1              1  552  634  423   376   488   172         2
  22          1              6    0  923    0   230   248   174         9
  39          1              1  246    0  384   225   354   207         4
  35          1              1  552  634  595   318   505   310        39
  33          1              1  552    0  850   441   570   344         2
  36          1              1  246  866  349   211   322   279         3
  63          1              1  931  277  296   254   329   119         8
  52          1              1  246  503  528   246   339   232         4
  58          1              1  969    0  423   180   288   232        72
  61          1              1  768  925  185   181   216   230         8
  40          1              1  969  288  423   231   365   126         2
  16          1              1  246    0  591   258   491   276         2
  93          1              1  870  634  595   329   368   162         5
  91          1              1    0  555  507   215   277   216        38
  98          1              1  870  634  757   287   490   142        42
  73          1              1    0    0  536   185   382   177        12
  29          1              1  951  127    0   138   196   164        32
  65          1              1  246  503  760   271   360   265         9
  30          1              6  435    0   98   103   263   194        82
  45          1              1    0    0  713   240   344   318        59
  46          1              1  552  634  905   382   505   188         4
   4          1              1  969  288  549   186   266   178        54
  41          1              6  1037  671    0   106   287   175        42
  59          1              1  552  478  296   187   285   121        70
  62          1              1  246    0  867   269   444   284        98
  27          1              6  1106    0    0    93   323   231       297
  71          1              1    0  555  723   225   402   308         5
  82          1              1  246  866  628   166   246   241         2
  43          1              1  934  634  905   238   369   209        83
  34          1              6  412  866  628   126   308   186         2
  68          1              6  969    0  655   175   287   195         2
   0          1              1    0  859  583   226   284   119        25
  20          1              1  552  763  296   199   300   112       254
  96          1              1  993    0  850   198   395   146         3
  54          1              6  163  294    0    66   220   151        39
  42          1              1  246  866  869   229   291   216        39
  18          1              2  1020  552    0   152   118   221        12
  64          1              1  1037  958    0   137   178   149        12
  15          1              1  993    0  996   187   245   164         4
  60          1              2    0  344  713   183   186   281         2
  94          1              1  969  288  727   198   244   117       280
  67          1              5  934  1003  905   258   176   279        11
  66          1              1  246  503  1025   216   316   159         5
  76          1              1  768  324  191   199   345    94        75
  74          1              2  246  348   98   168   155   207        31
  92          1              1    0  957  723   198   240   195         2
  97          1              1    0    0  1031   240   252   118         2
  55          1              1  993  245  996   179   281   154         2
  50          1              1    0  252  1031   220   273   138         2
  49          1              1    0  525  1031   208   288   127         2
  38          1              1    0  813  1031   185   261   142        22
  17          1              1  768    0  161   149   251   112        49
  11          1              1  552  634  1093   263   431   100        14
  13          1              6  457  866  349    90   306   222         4
  32          2              4    0    0    0   413   121   303         2
  69          2              6  413    0    0   323   442   271        23
  88          2              6  736    0    0   261   250   187        10
  90          2              1    0  121    0   249   420   149         2
  80          2              1  736  250    0   257   316   136        63
  56          2              1    0  541    0   381   450   223         2
  57          2              2  413  442    0   254   134   308         2
  53          2              1  997    0    0   165   257   209        69
  48          2              1  736  566    0   226   331   243       164
  37          2              4  736  897    0   378   166   259        16
  44          2              1    0  541  223   385   524   210         2
  47          2              1  997  257    0   177   256   275         5
  26          2              1  413  576    0   242   382   184         5
  28          2              1    0  121  149   233   338   175       159
  14          2              1  997  513    0   177   293   142         2
   8          2              5  413  958    0   177   199   324         2
  10          2              1  249  121    0   138   269   147         2
   7          2              1  736  250  136   189   251   162        19
   6          2              1  413  576  184   204   304   144        11
   3          2              5  736  1063    0   232   134   295        31
   1          2              6  997  513  142   137   299   207        90
