Algorithm: ES
Instance: products
Generations: 40
Number of bins used: 3
Number of items packed: 150
Final fitness: 3.6405969978233017

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  62          1              2    0    0    0   269   284   444        98
   2          1              3  269    0    0   534   372   229        41
   9          1              6  803    0    0   165   409   291         2
  48          1              5    0  284    0   243   226   331       164
  35          1              3  269  372    0   505   318   310        39
  79          1              6  968    0    0   176   269   185        10
 148          1              2  968  269    0   177   217   433         2
 128          1              4  269  690    0   537   189   345       277
  37          1              2    0  510    0   259   166   378        16
  22          1              5  968  486    0   230   174   248         9
 133          1              5  968  660    0   176   278   332         2
 130          1              3  269  879    0   293   209   259         2
  31          1              5    0  676    0   256   171   282         3
 117          1              2    0  847    0   247   125   276       108
  44          1              3  269  690  345   524   385   210         2
 142          1              2  803  409    0   158   185   316         2
  67          1              1  562  879    0   176   279   258        11
  66          1              5  806  690    0   159   216   316         5
  52          1              3  269    0  229   339   246   232         4
   8          1              2  968  938    0   199   177   324         2
  43          1              1    0  676  282   238   369   209        83
 144          1              1  793  690  345   233   455   265        27
 115          1              2  269    0  461   328   353   455        16
  60          1              4  803    0  291   281   186   183         2
  46          1              3  269  690  555   505   382   188         4
 147          1              1  803    0  474   359   436   152         2
  92          1              2    0  972    0   198   195   240         2
 122          1              5    0  1045  282   257   145   313         2
  26          1              1    0    0  444   242   382   184         5
 101          1              3  269  372  310   352   190   306        46
  24          1              4  269  372  616   513   133   397        18
  87          1              1  793  690  610   286   348   189         2
 141          1              5  806  906    0   123   251   336        10
  90          1              2    0  510  378   249   149   420         2
  11          1              2  269  1088    0   263   100   431        14
  40          1              3  803  436  474   365   231   126         2
  69          1              4  269  690  743   442   323   271        23
  81          1              1  803    0  626   306   503    98        14
  39          1              3  803    0  724   354   225   207         4
 111          1              3  269    0  916   505   357   219        10
 149          1              4  803  225  724   292   391   149         2
  83          1              3  269  372  1013   649   302   164        22
  58          1              2  608    0  229   180   232   288        72
  95          1              6  1026  690  345   161   324   183         3
 127          1              6  621  372  310   100   304   264       148
  65          1              6    0  676  491   265   360   271         9
   4          1              1  608    0  517   186   266   178        54
  96          1              5    0    0  628   146   198   395         3
  17          1              2  608  232  229   149   112   251        49
  72          1              3  269  690  1014   478   379   127         2
  61          1              4    0  198  628   216   230   181         8
  80          1              4  793  1038  610   316   136   257        63
 124          1              6  1095  225  724    92   418   260         3
 116          1              4  269  246  229   248   113   171        13
 140          1              4  269  562  310   276   111   217         7
  71          1              1    0  676  762   225   402   308         5
  47          1              1  793  690  799   177   256   275         5
 113          1              1    0  198  809   248   351   209        98
 118          1              3  269  505  616   321   164   149        80
 107          1              1  803    0  931   282   366   225         2
 114          1              6  968  486  248   150   167   135         6
  14          1              5  590  505  616   142   177   293         2
 100          1              3  269  1013  743   346   163   190         2
  59          1              3  793  690  1074   285   187   121        70
  70          1              1  608    0  695   127   296   155        97
 120          1              1  970  690  799   212   276    92         2
  55          1              1  970  690  891   179   281   154         2
  34          1              3  793  877  1074   308   186   126         2
   6          1              1  918  372  1013   204   304   144        11
  30          1              5  146    0  628   103   194   263        82
 138          1              3  269  505  765   280   179   193         2
 109          1              5  1026  1014  345   147   170   251        28
  41          1              1    0  198  1018   175   287   106        42
  38          1              5  615  1013  743   142   185   261        22
  18          1              1  803  186  291   152   221   118        12
  49          1              1    0  676  1070   208   288   127         2
 119          1              4  793  1038  867   274   146   193         2
  63          1              2    0  1078  762   254   119   329         8
  76          1              4  269  1088  431   345    94   199        75
  64          1              4    0  1045  595   178   149   137        12
  85          1              4    0  382  444   261   125   163       139
  19          1              4  803  616  724   277    58   256        15
 112          1              4    0  485  1018   183   144   135        86
  54          1              2  803  594    0   151    66   220        39
  10          1              1  803  409  316   138   269   147         2
  94          1              3    0    0  1023   244   198   117       280
   5          2              3    0    0    0   634   417   427        27
 108          2              4  634    0    0   456   571   222        17
 134          2              6    0  417    0   288   445   322        46
  33          2              1  634  571    0   441   570   344         2
 136          2              3  634    0  222   434   341   586        88
