Algorithm: ACO
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
 133          1              3    0    0    0   332   278   176         2
 132          1              3  332    0    0   240   178   113        25
 131          1              3  572    0    0   441   337   304         2
 130          1              3    0  278    0   293   209   259         2
 119          1              1  332  178    0   193   274   146         2
 123          1              2  572  337    0   323   179   530        11
 120          1              1  895  337    0   212   276    92         2
 124          1              3    0  487    0   418   260    92         3
 126          1              3  572  516    0   211   163   204        17
 127          1              3  895  613    0   304   264   100       148
 125          1              3  572  679    0   271   248   124         5
 129          1              3    0  747    0   504   262   172         4
 128          1              3  572  679  124   537   345   189       277
 118          1              1  1013    0    0   164   321   149        80
 122          1              2  418  487    0   145   257   313         2
 121          1              2    0  1009    0   199   109   265        33
 114          1              2  199  1009    0   135   150   167         6
 115          1              1    0  278  259   328   455   353        16
 113          1              1  572  679  313   248   351   209        98
 116          1              1  895  877    0   171   248   113        13
 117          1              1  895  337   92   247   276   125       108
 137          1              3    0  747  172   271   206   262       115
 136          1              3    0  747  434   434   341   586        88
 134          1              3  572    0  304   445   322   288        46
 135          1              3  332  178  146   224   195   259         2
 112          1              2  334  1009    0   135   144   183        86
 110          1              3  572  679  522   485   237   201       247
 111          1              2  572  916  522   357   219   505        10
 109          1              3    0  487   92   251   170   147        28
 108          1              3  572  337  530   456   222   571        17
 138          1              2    0    0  176   179   193   280         2
 139          1              2  332    0  113   208    89   293         5
 141          1              2    0    0  456   251   123   336        10
 140          1              2  332  373  146   217   111   276         7
 107          1              3  572    0  592   366   282   225         2
 106          1              3    0  278  612   538   366   561         3
 105          1              3  572  516  204   228   153   264         6
 104          1              3  820  679  313   371   264   128        20
 102          1              5  1017    0  304   179   229   338        30
 103          1              5  434  747  434   127   317   427         2
 145          1              2  895  337  217   241   241   303        41
 144          1              2  332    0  406   233   265   455        27
 146          1              2    0  123  456   208   155   280         2
 143          1              2  271  747  172   183   241   253         3
 142          1              3  572  1024  124   316   158   185         2
 199          1              2  929  916  522   269   204   403        23
 198          1              6  1028  337  530    87   297   218        16
 100          1              6  332  373  422   190   346   163         2
 149          1              2  1028  337  748   149   391   292         2
 148          1              2  1017    0  642   177   217   433         2
 161          1              2  888  1024  124   238    82   295         2
 150          1              2  572  679  723   209   181   383        10
 151          1              1  572    0  817   266   295   122         2
 152          1              1  572    0  939   237   323   197        34
 162          1              3  572  927    0   322   211   103         9
 176          1              5  334  1009  183   230   124   139        38
 175          1              4    0    0  792   262   254   173         2
 182          1              4    0  1088  434   278   108   235         2
 177          1              4  332   89  113   223    87   171         5
 178          1              4  929  916  925   270   214   233         6
 173          1              5  781  679  723   133   223   318         3
 172          1              5  838    0  817   142   276   335         6
 168          1              4    0    0  965   295   179   224         2
 181          1              4    0  747  1020   257   318   175        31
 179          1              4    0  1009  265   214   166   134       149
 153          1              1  257  747  1020   281   349   159         2
 195          1              5  332    0  861   188   252   322         2
 155          1              1  572  916  1027   174   239   168         2
 196          1              5  179    0  176   145   173   227        19
 194          1              5  454  747  172   114   196   250        22
 185          1              1  1013    0  149   158   279   152         4
 184          1              4  572  559  530   379   109   247         2
 188          1              2  888  1106  124   236    79   330        14
  85          1              6  746  916  1027   125   261   163       139
  14          1              5  1028  728  748   142   177   293         2
  13          1              5  914  679  723    90   222   306         4
  17          1              5  208  123  456   112   149   251        49
  18          1              5  1057  679  522   118   152   221        12
   6          1              4  572  1030  313   304   144   204        11
  20          1              3  781  679  1041   300   199   112       254
  19          1              5  1142  337   92    58   256   277        15
  27          1              3  572  337  1101   323   231    93       297
  54          1              5  1126  1024  124    66   151   220        39
 101          2              6    0    0    0   306   352   190        46
 147          2              2  306    0    0   359   152   436         2
 165          2              3  665    0    0   482   176   195         2
 164          2              3  665  176    0   497   309   254         6
 163          2              3    0  352    0   508   322   275        86
 174          2              4  665  485    0   423   146   274       116
 167          2              2  306  152    0   332   179   519         2
 166          2              3  665  631    0   387   215   244         8
 180          2              4    0  674    0   341   240   234         2
 171          2              5  508  352    0   123   280   358         2
 169          2              4  665  846    0   362   146   184         2
 170          2              4    0  914    0   330   204   212         4
 186          2              1  341  674    0   182   342   151        10
 154          2              1  341  674  151   195   367   123         2
 160          2              2  665  992    0   282   177   334         2
 159          2              2  665  485  274   342   480   483         3
 158          2              2    0    0  190   210   247   310         2
 157          2              2  947  992    0   180   202   217        40
 156          2              2  665  176  254   419   236   482         2
 197          2              6    0  674  234   205   320   156         2
 189          2              2  947  992  217   233   179   319         2
 183          2              4  665    0  195   381   162   242        26
 190          2              2  341  1041  151   190   129   278         2
 187          2              1    0  674  390   331   463   155        32
 191          2              2  341  674  274   256   222   412        99
 192          2              5    0  352  275   214   235   386         2
 193          2              5  1007  485  274   161   246   368        26
  83          2              6  1007  485  642   164   649   302        22
  84          2              6  306  152  519   185   367   269        44
  86          2              6    0  674  545   225   368   231         2
  87          2              6    0    0  500   189   348   286         2
  89          2              6  341  674  686   216   410   296         2
  88          2              6  214  352  275   261   250   187        10
