Algorithm: ES
Instance: 3dBPP_1
Generations: 100
Number of bins used: 1
Number of items packed: 51
Final fitness: 1.3353702384259258

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  50          1              2    0    0    0   340   228   545        50
   3          1              1  340    0    0   193   286   286        37
  30          1              6  533    0    0   101   439   302        20
  34          1              1  634    0    0   307   479   121        20
  24          1              5  941    0    0   133   161   413        20
  39          1              5  941  161    0   209   353   481        50
  23          1              1    0  228    0   220   348   396        48
  48          1              1    0  576    0   340   545   228        50
  19          1              3  340  576    0   348   220   396        48
  25          1              3  688  576    0   413   161   133        20
  40          1              6  634    0  121   209   481   353        50
  38          1              4  688  737    0   481   209   353        50
  47          1              2  340  796    0   340   228   545        50
  37          1              4  688  946    0   481   209   353        50
  26          1              2  340  286    0   161   133   413        20
  27          1              2  340  419    0   161   133   413        20
  42          1              1    0    0  545   353   481   209        50
   1          1              4    0  576  228   286   286   193        37
  35          1              3  688  737  353   481   353   209        50
  49          1              3  353    0  545   545   340   228        50
  41          1              3  353  340  545   481   353   209        50
  33          1              2  340  1024    0   307   121   479        20
  22          1              4  834  340  545   348   396   220        48
  45          1              1    0  576  421   340   545   228        50
   9          1              4  688  576  133   286    97   250        20
  31          1              1  353  693  545   302   439   101        20
  18          1              1  688  737  562   214   341   249        20
  43          1              4  353  340  754   481   209   353        50
  46          1              1    0  576  649   340   545   228        50
  29          1              6  902  737  562   101   439   302        20
   6          1              4    0  862  228   286   286   193        37
  21          1              4    0    0  754   348   396   220        48
  12          1              1    0  228  396   250   286    97        20
  32          1              4  353  549  754   479   121   307        20
   8          1              4  898    0  545   286   286   193        37
  14          1              6  220  228    0    97   286   250        20
   4          1              1  1003  737  562   193   286   286        37
  28          1              2  1003  1023  562   161   133   413        20
  36          1              1    0  576  877   353   481   209        50
   7          1              3  353  693  646   286   193   286        37
  15          1              1  834  340  765   214   341   249        20
   5          1              4  353  886  646   286   286   193        37
  10          1              2  898    0  738   250    97   286        20
  44          1              3  353    0  773   545   340   228        50
  20          1              4  353  693  932   348   396   220        48
  16          1              6  701  693  932   249   341   214        20
  17          1              6    0    0  974   249   341   214        20
   2          1              1  1003  737  848   193   286   286        37
   0          1              1  340    0  286   127   167   161        20
  13          1              4  898   97  738   286    97   250        20
  11          1              1  340  286  413   250   286    97        20
