Algorithm: ES
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
 194          1              1    0    0    0   196   250   114        22
 133          1              4  196    0    0   332   176   278         2
 148          1              2  528    0    0   177   217   433         2
 184          1              3  705    0    0   379   247   109         2
  52          1              5  196  176    0   232   246   339         4
  94          1              3  705  247    0   244   198   117       280
 106          1              2  196  422    0   366   561   538         3
 121          1              4  705  445    0   265   109   199        33
   2          1              5  970  445    0   229   372   534        41
 110          1              2  705  554    0   237   201   485       247
 159          1              1  196  422  538   342   483   480         3
 138          1              5  949  247    0   193   179   280         2
  28          1              2  705  755    0   233   175   338       159
  57          1              5    0  250    0   134   254   308         2
  69          1              2  528    0  433   271   323   442        23
 113          1              3  705  930    0   351   248   209        98
  36          1              1  705  755  338   211   322   279         3
 143          1              5  196  983    0   241   183   253         3
  91          1              2  437  983    0   215   216   277        38
 150          1              3  705    0  109   383   209   181        10
  48          1              1  799    0  433   226   331   243       164
  66          1              3  196  176  339   316   216   159         5
 131          1              2  538  422  538   337   304   441         2
  44          1              2  196  905  538   385   210   524         2
  27          1              4  196    0  278   323    93   231       297
  16          1              2  196    0  509   258   276   491         2
  20          1              5  528  217    0   112   199   300       254
 181          1              4  875  422  538   257   318   175        31
  53          1              1    0  504    0   165   257   209        69
  54          1              3  705  247  117   220   151    66        39
 174          1              1  705  755  617   274   423   146       116
 140          1              2  970  817    0   217   111   276         7
 109          1              5    0  761    0   147   170   251        28
 117          1              6  562  422    0   125   276   247       108
  74          1              5    0  931    0   155   168   207        31
 119          1              2    0    0  114   193   146   274         2
  88          1              1    0  931  207   187   250   261        10
 130          1              3  799    0  676   293   209   259         2
  58          1              4  875  422  713   288   232   180        72
  17          1              2    0  504  209   149   112   251        49
 147          1              6    0    0  388   152   436   359         2
 183          1              2  799  209  676   242   162   381        26
  19          1              4  562  422  247   277    58   256        15
 193          1              3  705  755  763   368   246   161        26
   0          1              3  705  930  209   284   226   119        25
 146          1              2  989  930  209   208   155   280         2
 161          1              3  705    0  290   295   238    82         2
 182          1              1  528    0  875   235   278   108         2
  47          1              5  705  1001  763   275   177   256         5
 186          1              3  705  755  924   342   182   151        10
  31          1              1    0  504  460   171   282   256         3
  38          1              1  1000    0  290   185   261   142        22
 127          1              5  562  698    0   100   264   304       148
  21          1              3  196    0  1000   488   376   172         2
 172          1              5    0  504  716   142   276   335         6
  22          1              4  875  422  893   248   230   174         9
 195          1              1  538  422  979   252   322   188         2
  68          1              1    0  780  716   195   287   175         2
  13          1              2  970  817  276   222    90   306         4
 154          1              2  196  276  509   195   123   367         2
 196          1              4  705  247  183   227   145   173        19
  77          1              6    0    0  747   185   415   345         3
 168          1              5    0  780  891   179   224   295         2
  60          1              4  799    0  935   281   186   183         2
 118          1              6  1025    0  433   149   321   164        80
 142          1              6  196  422  1018   185   316   158         2
  85          1              1    0  931  468   163   261   125       139
  32          1              5  1073  755  763   121   303   413         2
 157          1              4  196  983  253   217   202   180        40
  70          1              3  196  738  1018   296   127   155        97
  64          1              5    0  616  209   149   137   178        12
 114          1              1  1056  930    0   135   167   150         6
  29          1              4    0  761  251   196   164   138        32
 176          1              2  562  698  304   124   230   139        38
 116          1              2  989  1085  209   171   113   248        13
 198          1              6  1092    0  676    87   297   218        16
