Algorithm: GA
Instance: 3dBPP_1
Generations: 100
Number of bins used: 2
Number of items packed: 51
Final fitness: 2.6676851192129627

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  19          1              4    0    0    0   348   396   220        48
  16          1              1  348    0    0   214   341   249        20
  31          1              4  562    0    0   439   101   302        20
   9          1              3  562  101    0   286   250    97        20
   3          1              1  1001    0    0   193   286   286        37
  33          1              1  562  351    0   307   479   121        20
  43          1              4    0  396    0   481   209   353        50
  17          1              6  869  351    0   249   341   214        20
   7          1              1    0  605    0   193   286   286        37
  30          1              5  193  605    0   101   302   439        20
  37          1              4  562  830    0   481   209   353        50
  11          1              1  294  605    0   250   286    97        20
  41          1              1  562    0  302   353   481   209        50
  15          1              5  294  891    0   249   214   341        20
  39          1              2  562  481  302   353   209   481        50
  29          1              2  869  692    0   302   101   439        20
   8          1              4    0    0  220   286   286   193        37
  45          1              2  562  830  353   340   228   545        50
  23          1              4    0    0  413   348   396   220        48
   5          1              4  902  830  353   286   286   193        37
  18          1              1  348    0  249   214   341   249        20
  25          1              4  562  1039    0   413   133   161        20
   6          1              1    0  891    0   193   286   286        37
  49          1              4  562    0  511   545   228   340        50
   4          1              1  294  605   97   193   286   286        37
  50          1              2  193  605  439   340   228   545        50
  47          1              1    0    0  633   340   545   228        50
  34          1              3  562  481  783   479   307   121        20
  24          1              4  562  101   97   413   133   161        20
   1          1              3  193  833  439   286   193   286        37
   0          1              2  1043  830    0   127   161   167        20
  35          1              5  348    0  498   209   353   481        50
  40          1              4  562  228  511   481   209   353        50
  27          1              2    0  605  286   161   133   413        20
  26          1              5    0  738  286   133   161   413        20
  48          1              1    0    0  861   340   545   228        50
  36          1              1  562  481  904   353   481   209        50
  10          1              5  193  907    0    97   250   286        20
  14          1              5    0  899  286    97   250   286        20
  13          1              2  915  481  302   250    97   286        20
  44          1              4  562    0  851   545   228   340        50
  28          1              5  193  1026  439   133   161   413        20
  12          1              5  348  353  498    97   250   286        20
   2          1              3  902  830  546   286   193   286        37
  20          2              2    0    0    0   220   396   348        48
  42          2              6  220    0    0   209   481   353        50
  21          2              2  429    0    0   220   396   348        48
  46          2              6  649    0    0   228   545   340        50
  22          2              1  877    0    0   220   348   396        48
  32          2              3  649  545    0   479   307   121        20
  38          2              5    0  396    0   209   353   481        50
