Algorithm: GA
Instance: products
Generations: 100
Number of bins used: 2
Number of items packed: 50
Final fitness: 2.5960595

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  40          1              2    0    0    0    39    14    26        15
  27          1              4   39    0    0    23    24    26        16
  16          1              3    0   14    0    39    40    20        35
  34          1              1   62    0    0    26    33    26        25
   1          1              4   62   33    0    25    14    30         8
  45          1              2   39   24    0    21    31    10         6
   8          1              1   62   47    0    35    39    20        22
  43          1              6    0   54    0    37    30    22        20
  12          1              1   39   55    0    19    11    11         1
  19          1              2    0   14   20    33    19    30        18
  39          1              5   62   47   20    28    24    26        15
  49          1              3   39   66    0    17    15    24         5
  13          1              5    0   54   22    37    36    17        23
   9          1              3   39   24   10    15    24    17         6
  20          1              6    0   54   39    30    39    26        33
   4          1              4   39   24   27    16    35    26        11
  26          1              1   62   47   46    31    37    37        43
  47          1              6   87   33    0    13    10    14         1
  18          1              6    0   14   50    27    36    30        26
  33          1              2    0   54   65    38    34    21        29
  30          1              2   62   71   20    19    24    22        11
  42          1              4   39   66   24    21    27    22        12
   3          1              4   62    0   26    22    30    33        24
  21          1              4   62    0   59    31    25    33        22
  17          1              2   88    0    0    11    33    18         6
  29          1              4    0   33   20    14    20    19         5
  14          1              1    0   84    0    26    13    13         3
   2          1              6   39   24   53    16    36    39        22
  31          1              3   62   25   59    27    20    17         7
  25          1              2   62   84   46    37    15    27        14
   5          1              3   39   66   46    21    25    22        13
  15          2              4    0    0    0    28    21    36        17
  28          2              1   28    0    0    20    23    39        18
  48          2              3   48    0    0    17    21    35        11
  44          2              5   65    0    0    24    22    23        12
   6          2              1   65   22    0    31    21    21        11
  23          2              2    0   21    0    11    25    23         7
  41          2              3   28   23    0    35    20    38        22
  37          2              3   11   21    0    17    30    17         8
  32          2              1   28   43    0    40    27    12        14
  46          2              3   68   43    0    16    30    18         7
  22          2              6   28   70    0    36    26    33        35
  38          2              5   68   43   18    22    33    16        13
   7          2              6   68   73    0    30    17    11         5
  35          2              6   11   51    0    13    36    11         5
   0          2              3   28   43   12    36    12    15         5
  10          2              4   68   76   18    18    24    13         5
  24          2              6   65    0   23    32    29    40        30
  11          2              6   68   43   34    30    33    36        31
  36          2              2   28   55   12    29    13    40        15
