Algorithm: PSO
Instance: 3dBPP_1
Generations: 100
Number of bins used: 1
Number of items packed: 51
Final fitness: 1.3353702384259258

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
  35          1              3    0    0    0   481   353   209        50
  45          1              1  481    0    0   340   545   228        50
  47          1              2  821    0    0   340   228   545        50
  32          1              1  821  228    0   307   479   121        20
   1          1              3    0  353    0   286   193   286        37
  22          1              3    0  546    0   348   220   396        48
  17          1              4  348  546    0   341   249   214        20
   9          1              1  821  707    0   250   286    97        20
  11          1              1    0  766    0   250   286    97        20
  14          1              1  348  795    0   250   286    97        20
  36          1              1  821  707   97   353   481   209        50
   3          1              1  598  795    0   193   286   286        37
  25          1              2  286  353    0   161   133   413        20
  19          1              6    0    0  209   396   348   220        48
   8          1              3    0  766   97   286   193   286        37
  49          1              1  481    0  228   340   545   228        50
  31          1              1  821  228  121   302   439   101        20
  41          1              4    0  959   97   481   209   353        50
  28          1              1  348  546  214   161   413   133        20
  44          1              1    0    0  429   340   545   228        50
  13          1              4  509  546  214   286    97   250        20
   4          1              1  821  228  222   193   286   286        37
  39          1              1  821  707  306   353   481   209        50
  10          1              1    0  546  396   250   286    97        20
  37          1              1    0  546  493   353   481   209        50
  48          1              2  481    0  456   340   228   545        50
  15          1              6  509  546  464   249   341   214        20
  40          1              3    0    0  657   481   353   209        50
  38          1              1  821  707  515   353   481   209        50
  43          1              1  821    0  545   353   481   209        50
  46          1              1    0  546  702   340   545   228        50
  24          1              5  821  514  222   133   161   413        20
  16          1              1  509  546  678   214   341   249        20
  18          1              2  481  228  456   214   249   341        20
  12          1              1  250  546  396   250   286    97        20
  42          1              3    0    0  866   481   353   209        50
  27          1              5  954  514  222   133   161   413        20
   5          1              1  509  887  464   193   286   286        37
   7          1              3  821  514  635   286   193   286        37
  23          1              5  509  887  750   396   220   348        48
   2          1              1  905  887  750   193   286   286        37
  21          1              4  821    0  754   348   396   220        48
   6          1              4  481  228  797   286   286   193        37
   0          1              1  689  546    0   127   167   161        20
  29          1              2    0  353  657   302   101   439        20
  50          1              1    0  546  930   340   545   228        50
  20          1              4  821    0  974   348   396   220        48
  34          1              1  821  396  974   307   479   121        20
  33          1              1  481  228  990   307   479   121        20
  30          1              1  821  396  1095   302   439   101        20
  26          1              2  302  353  657   161   133   413        20
