Algorithm: PSO
Instance: products
Generations: 30
Number of bins used: 3
Number of items packed: 200
Final fitness: 3.337582853587963

============================================================
Detailed Packing Solution:
============================================================

  id    bin-loc    orientation    x    y    z    x'    y'    z'    weight
----  ---------  -------------  ---  ---  ---  ----  ----  ----  --------
 109          1              6    0    0    0   147   251   170        28
 194          1              6  147    0    0   114   250   196        22
  44          1              6  261    0    0   210   524   385         2
 141          1              2  471    0    0   251   123   336        10
 139          1              5  722    0    0    89   208   293         5
  23          1              6  811    0    0   197   228   176        26
 182          1              1  471  123    0   235   278   108         2
 169          1              5  1008    0    0   146   184   362         2
  28          1              4  811  228    0   338   175   233       159
 190          1              3  471  401    0   278   190   129         2
  91          1              5    0  251    0   216   215   277        38
  89          1              5  811  403    0   216   296   410         2
  55          1              2    0  466    0   179   154   281         2
  26          1              1  471  591    0   242   382   184         5
 198          1              6  1027  403    0    87   297   218        16
 125          1              3    0  620    0   271   248   124         5
 131          1              3    0  620  124   441   337   304         2
 144          1              2  471  123  108   233   265   455        27
  64          1              4  811  699    0   178   149   137        12
 118          1              6  1027  700    0   149   321   164        80
  79          1              6  811  848    0   176   269   185        10
 100          1              6  471  591  184   190   346   163         2
  97          1              2  471  973    0   240   118   252         2
 156          1              5  471  591  347   236   419   482         2
  85          1              1  1027  700  164   163   261   125       139
 107          1              6  722    0  293   225   366   282         2
 111          1              3  471  591  829   505   357   219        10
  40          1              6  1027  700  289   126   365   231         2
  76          1              4    0  957  124   345    94   199        75
  27          1              2  471  1091    0   231    93   323       297
  42          1              5  811  848  185   216   229   291        39
 176          1              2  345  957  124   124   230   139        38
  83          1              2  471  401  129   302   164   649        22
 186          1              1  1008    0  362   182   342   151        10
  30          1              6  1027  403  218   103   263   194        82
  37          1              5  261    0  385   166   259   378        16
  99          1              1    0  620  428   246   294   164         6
 148          1              6  246  620  428   217   433   177         2
 117          1              1  471  123  563   247   276   125       108
  15          1              3    0  251  277   245   187   164         4
 173          1              6  261  259  385   133   318   223         3
 110          1              5    0  957  323   201   237   485       247
 114          1              2  1027  1021    0   135   150   167         6
 188          1              5  713  591    0    79   236   330        14
 189          1              6  811  403  410   179   319   233         2
 113          1              1    0  251  441   248   351   209        98
 168          1              2  471  1010  347   224   179   295         2
  93          1              3  722    0  575   368   329   162         5
   2          1              5    0  251  650   229   372   534        41
 167          1              3  261    0  763   519   332   179         2
 121          1              2  811  699  137   199   109   265        33
 143          1              5  471  1010  642   241   183   253         3
 119          1              2  246  1053  428   193   146   274         2
  22          1              5  712  1010  642   230   174   248         9
 123          1              2  811  403  643   323   179   530        11
  84          1              1  811  582  643   269   367   185        44
  67          1              2  246  620  605   176   258   279        11
  78          1              4  780    0  763   254   299   195         3
 137          1              2    0  623  650   206   262   271       115
 158          1              3    0  957  808   310   210   247         2
 181          1              3  942  1010  642   257   175   318        31
  36          1              1  976  591  829   211   322   279         3
 183          1              5  1034    0  763   162   242   381        26
 120          1              2  811  1077  185   212    92   276         2
 149          1              6    0  623  921   391   292   149         2
  75          1              3  261    0  942   347   252   191        81
   9          1              3  261  252  942   409   291   165         2
  49          1              1  811  848  476   208   288   127         2
  70          1              1  1027  403  412   127   296   155        97
   7          1              2  712  1010  890   189   162   251        19
 196          1              3  471  401  778   227   173   145        19
 116          1              1  271  620    0   171   248   113        13
  14          1              3  471  591  1048   293   177   142         2
  82          1              4  780    0  958   246   241   166         2
 126          1              1  608    0  942   163   211   204        17
